game_id,team_name_home,fgm_home,fga_home,fg3m_home,fg3a_home,ftm_home,fta_home,oreb_home,dreb_home,reb_home,ast_home,stl_home,blk_home,tov_home,pf_home,pts_home,plus_minus_home,team_name_away,fgm_away,fga_away,fg3m_away,fg3a_away,ftm_away,fta_away,oreb_away,dreb_away,reb_away,ast_away,stl_away,blk_away,tov_away,pf_away,pts_away,day,month,year,home_wins,play_off,season
22200001,Boston Celtics,46.0,82.0,12.0,35.0,22.0,28.0,6.0,30.0,36.0,24.0,8.0,3.0,11.0,24.0,126.0,9,Philadelphia 76ers,40.0,80.0,13.0,34.0,24.0,28.0,4.0,27.0,31.0,16.0,8.0,3.0,14.0,25.0,117.0,18,10,2022,1,0,37
22200002,Golden State Warriors,45.0,99.0,16.0,45.0,17.0,23.0,11.0,37.0,48.0,31.0,11.0,4.0,18.0,23.0,123.0,14,Los Angeles Lakers,40.0,94.0,10.0,40.0,19.0,25.0,9.0,39.0,48.0,23.0,12.0,4.0,22.0,18.0,109.0,18,10,2022,1,0,37
22200003,Detroit Pistons,40.0,94.0,14.0,38.0,19.0,24.0,12.0,29.0,41.0,31.0,11.0,4.0,13.0,21.0,113.0,4,Orlando Magic,42.0,86.0,11.0,30.0,14.0,19.0,10.0,38.0,48.0,21.0,5.0,5.0,18.0,24.0,109.0,19,10,2022,1,0,37
22200012,Utah Jazz,42.0,83.0,16.0,38.0,23.0,31.0,11.0,32.0,43.0,27.0,10.0,1.0,20.0,21.0,123.0,21,Denver Nuggets,40.0,83.0,5.0,22.0,17.0,18.0,10.0,25.0,35.0,21.0,10.0,3.0,21.0,23.0,102.0,19,10,2022,1,0,37
22200006,Brooklyn Nets,40.0,89.0,10.0,33.0,18.0,24.0,9.0,30.0,39.0,22.0,10.0,10.0,16.0,25.0,108.0,-22,New Orleans Pelicans,50.0,102.0,12.0,26.0,18.0,25.0,21.0,40.0,61.0,31.0,9.0,4.0,13.0,21.0,130.0,19,10,2022,0,0,37
22200004,Indiana Pacers,39.0,97.0,15.0,42.0,14.0,21.0,12.0,30.0,42.0,21.0,7.0,5.0,15.0,20.0,107.0,-7,Washington Wizards,42.0,92.0,11.0,31.0,19.0,24.0,14.0,39.0,53.0,21.0,5.0,10.0,17.0,19.0,114.0,19,10,2022,0,0,37
22200014,Sacramento Kings,39.0,85.0,17.0,44.0,13.0,19.0,4.0,37.0,41.0,27.0,8.0,5.0,16.0,25.0,108.0,-7,Portland Trail Blazers,39.0,88.0,11.0,28.0,26.0,33.0,11.0,33.0,44.0,20.0,11.0,2.0,11.0,17.0,115.0,19,10,2022,0,0,37
22200013,Phoenix Suns,40.0,85.0,8.0,22.0,19.0,22.0,8.0,32.0,40.0,25.0,4.0,5.0,12.0,29.0,107.0,2,Dallas Mavericks,35.0,75.0,14.0,35.0,21.0,34.0,5.0,35.0,40.0,17.0,6.0,4.0,12.0,22.0,105.0,19,10,2022,1,0,37
22200011,San Antonio Spurs,40.0,99.0,7.0,34.0,15.0,21.0,14.0,30.0,44.0,22.0,8.0,8.0,15.0,19.0,102.0,-27,Charlotte Hornets,48.0,94.0,13.0,29.0,20.0,23.0,14.0,37.0,51.0,26.0,7.0,10.0,15.0,20.0,129.0,19,10,2022,0,0,37
22200010,Minnesota Timberwolves,39.0,94.0,10.0,38.0,27.0,33.0,14.0,41.0,55.0,25.0,6.0,5.0,14.0,21.0,115.0,7,Oklahoma City Thunder,38.0,99.0,14.0,45.0,18.0,22.0,16.0,41.0,57.0,22.0,6.0,6.0,14.0,26.0,108.0,19,10,2022,1,0,37
22200008,Toronto Raptors,36.0,86.0,13.0,30.0,23.0,32.0,12.0,29.0,41.0,19.0,15.0,4.0,13.0,23.0,108.0,3,Cleveland Cavaliers,38.0,77.0,10.0,28.0,19.0,23.0,6.0,32.0,38.0,25.0,5.0,5.0,17.0,21.0,105.0,19,10,2022,1,0,37
22200009,Memphis Grizzlies,42.0,108.0,17.0,50.0,14.0,23.0,20.0,44.0,64.0,27.0,6.0,7.0,14.0,17.0,115.0,3,New York Knicks,44.0,109.0,9.0,37.0,15.0,18.0,18.0,36.0,54.0,28.0,7.0,5.0,12.0,26.0,112.0,19,10,2022,1,0,37
22200007,Miami Heat,37.0,80.0,12.0,28.0,22.0,28.0,8.0,38.0,46.0,21.0,6.0,2.0,19.0,24.0,108.0,-8,Chicago Bulls,41.0,93.0,13.0,36.0,21.0,28.0,12.0,34.0,46.0,23.0,12.0,6.0,15.0,26.0,116.0,19,10,2022,0,0,37
