fgm_home,fga_home,fg3m_home,fg3a_home,ftm_home,fta_home,oreb_home,dreb_home,reb_home,ast_home,stl_home,blk_home,tov_home,pf_home,pts_home,plus_minus_home,fgm_away,fga_away,fg3m_away,fg3a_away,ftm_away,fta_away,oreb_away,dreb_away,reb_away,ast_away,stl_away,blk_away,tov_away,pf_away,pts_away,play_off,season
50,106,13,30,22,32,12,44,56,35,10,8,21,27,135,2,42,111,15,51,34,36,18,42,60,22,11,7,17,30,133,0,34
43,92,0,4,35,41,16,34,50,30,15,5,13,18,121,20,40,84,3,7,18,20,7,24,31,35,7,3,19,26,101,0,3
40,82,1,7,21,27,11,31,42,30,11,6,14,16,102,13,36,84,0,2,17,21,15,25,40,21,6,5,15,21,89,0,3
43,72,3,6,19,25,10,27,37,23,3,5,14,25,108,7,34,85,7,17,26,34,23,18,41,19,10,1,14,25,101,0,20
28,84,1,9,21,33,24,21,45,13,12,3,13,26,78,-11,31,63,7,18,20,26,8,29,37,19,4,8,19,23,89,0,13
43,95,0,2,20,35,30,30,60,26,7,6,14,25,106,8,37,84,2,5,22,29,18,27,45,23,8,4,14,28,98,0,1
45,81,0,1,34,41,13,37,50,31,9,5,18,25,124,20,39,91,2,8,24,30,16,21,37,26,4,8,14,27,104,0,7
40,79,9,20,20,23,5,33,38,26,10,4,14,14,109,8,39,93,10,33,13,16,18,33,51,23,8,4,18,20,101,0,30
32,88,3,20,14,18,12,33,45,20,9,2,15,21,81,-7,31,69,4,15,22,29,5,35,40,20,9,2,18,19,88,0,17
33,65,8,17,28,37,5,31,36,19,6,5,14,21,102,2,35,80,7,13,23,30,11,23,34,14,10,2,11,28,100,0,22
42,88,8,16,20,30,9,31,40,18,8,5,16,25,112,-7,47,95,2,5,23,32,15,37,52,23,7,7,16,23,119,0,6
37,80,13,32,21,25,5,28,33,27,5,6,11,21,108,-16,43,91,13,37,25,28,11,38,49,29,4,9,8,21,124,0,33
39,83,6,13,16,22,15,22,37,20,10,4,17,24,100,-3,38,75,6,15,21,26,9,26,35,21,8,6,19,21,103,0,16
34,68,7,13,20,31,8,32,40,25,1,8,15,23,95,-2,38,80,5,11,16,21,7,24,31,26,6,2,6,29,97,1,9
34,85,0,6,18,20,13,38,51,20,9,3,13,14,86,5,35,88,3,13,8,12,11,37,48,23,8,4,13,22,81,0,6
49,90,3,11,18,22,17,31,48,36,10,11,16,20,119,5,44,93,10,26,16,20,15,24,39,28,8,4,15,19,114,0,10
39,69,5,11,31,38,8,31,39,27,7,7,16,22,114,26,30,85,6,16,22,28,19,24,43,19,8,5,10,27,88,0,9
42,90,10,24,18,21,18,30,48,32,6,3,14,25,112,13,36,74,6,14,21,27,9,25,34,16,6,3,12,17,99,0,9
43,80,5,8,19,21,11,30,41,22,9,4,22,21,110,-4,47,88,2,7,18,23,11,28,39,23,13,5,16,21,114,0,3
42,86,8,22,13,30,12,37,49,31,4,3,9,19,105,14,33,85,7,27,18,23,14,35,49,15,3,6,10,22,91,0,31
