game_id,fga_home,fg3a_home,fta_home,oreb_home,ast_home,blk_home,pts_home,fga_away,fg3a_away,fta_away,oreb_away,ast_away,tov_away,pts_away,season
29100675,88,6,45,14,31,0,126,88,11,32,9,15,21,109,6
21601028,82,26,25,13,23,4,110,85,21,23,9,16,14,94,31
20500583,72,23,29,9,21,2,85,77,9,22,7,20,14,89,20
20900806,87,14,25,14,22,9,107,72,13,37,9,12,12,97,24
28600546,101,5,43,22,27,8,135,93,2,32,16,35,22,115,1
29400723,73,11,38,7,20,9,106,86,20,33,22,14,13,99,9
21500793,71,22,19,8,25,2,90,86,20,12,10,26,12,109,30
29700577,81,21,23,15,12,6,76,77,9,33,16,13,11,94,12
28801021,101,8,33,22,32,6,126,95,9,28,15,23,17,120,3
29600156,81,15,21,14,17,9,88,82,17,17,16,12,26,76,11
22000728,92,26,34,14,24,2,120,92,35,19,11,22,12,106,35
20300162,84,22,34,12,18,6,95,79,14,28,9,25,13,92,18
29900845,92,19,24,18,24,7,97,82,14,13,11,18,26,91,14
41800222,91,36,24,18,24,5,115,77,40,25,10,17,18,109,33
29500976,81,13,21,10,18,7,92,69,5,30,13,18,21,90,10
21900208,90,38,23,8,33,7,142,90,27,25,9,18,10,94,34
29500960,94,15,18,14,28,2,108,82,14,25,11,31,13,120,10
21500098,76,25,18,7,24,2,103,96,30,22,18,16,9,120,30
29300949,94,8,27,11,30,4,117,93,14,23,11,27,12,111,8
28800757,91,2,26,15,24,7,98,77,6,29,12,16,17,83,3
28800517,85,10,24,19,21,4,84,79,5,33,14,22,14,99,3
28901042,83,7,30,14,32,6,116,79,10,25,11,28,19,106,4
20100436,83,4,14,10,32,10,92,100,11,18,24,15,18,74,16
20201118,89,14,34,16,27,3,111,79,19,29,7,21,16,108,17
29100224,78,19,36,14,27,1,115,89,10,28,16,28,16,124,6
49600023,67,9,20,9,16,6,95,79,21,15,16,12,17,96,11
29400031,86,18,32,13,27,3,121,87,19,30,12,22,15,114,9
21000659,91,20,28,10,30,6,125,87,30,36,9,26,14,129,25
29000962,108,7,19,14,38,11,135,103,14,35,14,26,14,132,5
20800135,79,29,26,14,21,6,105,72,13,24,10,18,18,93,23
20900652,82,12,26,14,18,3,99,78,35,18,13,21,19,94,24
22200090,89,50,19,10,33,5,121,92,27,16,12,26,14,108,37
21700784,85,36,17,9,24,6,97,91,31,14,10,21,8,96,32
28500037,99,0,33,18,36,2,122,105,4,26,17,23,17,116,0
20200842,88,25,17,15,24,3,107,80,27,26,7,18,9,90,17
28901101,93,1,34,18,27,8,108,90,5,19,12,19,14,93,4
20201102,94,16,20,16,30,7,111,82,15,24,9,27,12,94,17
28600544,75,2,31,14,34,5,104,77,7,27,9,24,19,99,1
28600878,82,5,36,17,27,9,111,93,2,13,13,28,14,99,1
