,W,pval,normal
fgm_home,450.2755973774856,1.674543221783175e-98,False
fga_home,768.1012562799584,1.617824572020131e-167,False
fg3m_home,3946.830632379885,0.0,False
fg3a_home,2620.7160158254915,0.0,False
ftm_home,1391.1265971584996,8.331009172046838e-303,False
fta_home,1207.8762861370656,5.164128667397743e-263,False
oreb_home,2243.0320708630593,0.0,False
dreb_home,210.01579489308952,2.486849954763945e-46,False
reb_home,387.16787952554336,8.463756804049428e-85,False
ast_home,602.9704614722739,1.165810375029294e-131,False
stl_home,1815.7509477644048,0.0,False
blk_home,3660.670951560859,0.0,False
tov_home,854.8261428457412,2.381560330739536e-186,False
pf_home,761.4744954228252,4.4454349940174126e-166,False
pts_home,239.8744377942021,8.1644636192579975e-53,False
plus_minus_home,104.09915781858953,2.484020034775471e-23,False
fgm_away,248.60768239261697,1.0364006795305656e-54,False
fga_away,652.5901724556182,1.9581437875574813e-142,False
fg3m_away,3974.597856806146,0.0,False
fg3a_away,2597.861446692221,0.0,False
ftm_away,1547.1175416045223,0.0,False
fta_away,1282.113486264481,3.9137571208388e-279,False
oreb_away,1863.555769281131,0.0,False
dreb_away,370.6566810904134,3.2577995646590334e-81,False
reb_away,367.2158033096481,1.820126100540137e-80,False
ast_away,506.1194516565889,1.2518649520066339e-110,False
stl_away,1435.1649380297872,0.0,False
blk_away,3179.966028727807,0.0,False
tov_away,1195.9803042647181,1.977774150795821e-260,False
pf_away,749.1544911046672,2.104598275010158e-163,False
pts_away,327.8406938284831,6.460972067566169e-72,False
Year,31959.55900111882,0.0,False
home_wins,174784.00786264092,0.0,False
