game_id,fga_home,fg3a_home,fta_home,oreb_home,ast_home,blk_home,pts_home,fga_away,fg3a_away,fta_away,oreb_away,ast_away,tov_away,pts_away,Clusters
28500005,92,3,18,16,25,5,91,78,2,26,11,21,17,100,2
28500006,88,2,41,20,17,2,104,80,0,40,11,19,18,108,2
28500010,88,1,49,17,23,0,118,88,5,45,13,27,20,116,2
28500011,82,2,38,10,30,9,108,89,0,34,17,23,19,112,2
28500008,91,4,52,18,17,7,105,88,3,43,13,26,22,119,2
28500004,101,1,31,19,17,3,113,84,7,32,9,27,28,109,2
28500007,95,4,41,21,29,8,116,93,3,32,16,24,20,115,2
28500009,110,1,38,23,28,9,128,102,10,42,22,32,27,123,2
28500016,89,7,33,13,20,7,100,86,3,45,21,22,14,105,2
28500012,92,3,25,10,19,5,89,81,3,39,22,20,23,99,2
28500014,87,3,45,17,18,11,121,91,2,46,23,21,20,118,2
28500017,83,2,41,11,18,4,101,88,5,11,7,30,18,95,0
28500018,103,2,31,16,27,8,123,83,2,30,13,14,26,112,2
28500013,85,5,30,12,28,3,117,70,2,52,12,14,27,91,2
28500015,102,2,47,14,21,4,130,122,4,24,24,36,21,129,2
28500020,74,0,34,6,27,4,119,79,2,45,9,19,19,92,2
28500019,108,2,26,16,32,5,116,99,6,27,15,30,22,121,2
28500021,89,2,23,15,34,6,116,83,3,33,18,24,29,99,2
28500023,89,6,28,13,23,3,105,92,1,26,13,24,14,111,2
28500025,91,1,36,15,35,4,119,99,6,24,18,33,18,113,2
28500022,82,0,30,14,26,6,111,87,6,24,12,21,20,99,2
28500029,87,3,56,14,25,4,124,98,5,35,18,22,20,107,2
28500026,85,1,57,14,30,6,127,108,4,54,24,26,30,142,2
28500024,99,4,35,11,29,2,115,101,6,18,16,35,19,133,2
28500030,86,3,38,24,21,7,102,84,3,36,19,15,12,87,2
28500027,89,1,49,24,26,6,124,90,0,40,12,27,18,112,2
28500028,86,6,20,9,32,5,119,93,5,36,20,26,18,117,2
28500197,87,8,29,12,22,4,90,79,3,30,8,24,16,97,0
