game_id,fga_home,fg3a_home,fta_home,oreb_home,reb_home,ast_home,blk_home,pts_home,fga_away,fg3a_away,oreb_away,ast_away,tov_away,pts_away,season
21900303,106,30,32,12,56,35,8,135,111,51,18,22,17,133,34
28800893,92,4,41,16,50,30,5,121,84,7,7,35,19,101,3
28800204,82,7,27,11,42,30,6,102,84,2,15,21,15,89,3
20501038,72,6,25,10,37,23,5,108,85,17,23,19,14,101,20
29800221,84,9,33,24,45,13,3,78,63,18,8,19,19,89,13
28600500,95,2,35,30,60,26,6,106,84,5,18,23,14,98,1
29200056,81,1,41,13,50,31,5,124,91,8,16,26,14,104,7
21500399,79,20,23,5,38,26,4,109,93,33,18,23,18,101,30
20200489,88,20,18,12,45,20,2,81,69,15,5,20,18,88,17
20700605,65,17,37,5,36,19,5,102,80,13,11,14,11,100,22
29100847,88,16,30,9,40,18,5,112,95,5,15,23,16,119,6
21800837,80,32,25,5,33,27,6,108,91,37,11,29,8,124,33
20100341,83,13,22,15,37,20,4,100,75,15,9,21,19,103,16
49400056,68,13,31,8,40,25,8,95,80,11,7,26,6,97,9
29100445,85,6,20,13,51,20,3,86,88,13,11,23,13,81,6
29500705,90,11,22,17,48,36,11,119,93,26,15,28,15,114,10
29400428,69,11,38,8,39,27,7,114,85,16,19,19,10,88,9
29401014,90,24,21,18,48,32,3,112,74,14,9,16,12,99,9
28800475,80,8,21,11,41,22,4,110,88,7,11,23,16,114,3
21600197,86,22,30,12,49,31,3,105,85,27,14,15,10,91,31
21700306,73,13,26,8,52,26,5,115,84,38,9,21,15,86,32
22000153,99,44,27,14,58,20,3,112,92,36,9,20,9,94,35
20300747,83,12,22,12,34,19,0,94,75,18,12,20,17,101,18
21400009,82,15,20,10,33,21,5,105,86,12,19,20,23,101,29
29800549,75,13,29,14,36,21,4,98,63,20,12,16,16,86,13
20101064,70,10,37,15,44,14,8,100,93,13,17,29,10,98,16
29600981,83,9,29,17,51,24,6,107,84,19,16,20,12,94,11
21100663,87,20,19,10,40,23,4,87,81,16,13,16,18,83,26
22101004,91,31,17,7,37,25,3,122,85,27,14,21,11,109,36
20400084,75,16,33,8,42,25,12,103,88,10,19,15,17,97,19
20100531,90,8,26,13,42,18,3,112,86,20,15,24,16,106,16
20300081,80,22,22,19,51,21,6,96,79,9,12,19,11,86,18
29000978,91,10,19,14,47,32,4,104,90,3,15,25,11,107,5
28500671,79,6,35,10,34,27,10,114,95,6,23,25,18,102,0
28900205,85,2,36,9,44,21,7,95,104,2,15,35,15,121,4
28800779,86,4,34,18,51,17,7,108,89,10,14,22,22,88,3
28700861,91,5,30,17,42,17,2,95,77,1,14,13,23,93,2
29200944,93,7,27,19,45,26,1,118,78,9,8,31,20,105,7
20800580,84,27,32,5,38,28,5,111,83,22,12,17,20,104,23
21100902,79,9,16,14,46,20,5,87,80,21,12,28,10,109,26
28700199,75,0,42,15,40,18,1,93,86,3,15,25,12,109,2
29200273,87,14,31,17,51,34,4,121,96,11,16,25,8,109,7
21501067,89,27,25,11,46,19,8,109,96,30,11,21,17,103,30
21900037,103,33,25,8,49,33,10,134,101,45,11,28,17,133,34
29200309,87,10,21,18,44,18,6,86,78,5,13,29,17,92,7
21400396,86,43,18,15,43,27,4,97,74,26,4,26,15,104,29
22100717,103,45,7,17,67,32,6,128,95,33,15,15,12,75,36
49700072,79,16,39,12,38,20,5,104,69,12,11,22,19,98,12
28801011,92,13,40,19,51,27,2,101,82,5,8,28,21,112,3
29900045,81,6,20,14,41,24,2,109,70,17,11,18,18,94,14
21100459,81,22,16,15,50,23,5,97,73,27,4,24,9,77,26
29600928,75,20,19,11,35,18,3,74,86,19,26,18,14,89,11
20100718,71,6,28,14,43,25,7,85,82,18,10,23,11,100,16
20600894,78,15,17,10,41,23,5,99,76,17,12,11,19,81,21
20000265,76,7,27,15,35,22,9,88,76,6,14,22,18,92,15
29001002,96,6,22,10,32,28,9,111,84,3,13,26,20,114,5
28801001,117,7,26,21,58,34,6,136,104,2,16,23,22,113,3
21800809,91,33,20,20,54,21,6,101,100,51,13,17,12,127,33
29000724,86,6,27,13,43,39,10,128,87,3,6,28,15,108,5
20400108,68,14,29,12,47,20,6,93,78,17,11,20,12,86,19
29500492,81,14,18,14,50,22,1,83,79,16,9,24,9,103,10
22101006,88,21,15,8,46,20,5,101,86,24,5,19,14,91,36
20400117,82,8,21,12,42,16,3,80,76,15,18,26,19,88,19
20000771,79,20,28,7,37,20,5,113,87,20,16,26,11,111,15
21000029,81,24,17,9,46,32,7,109,83,18,14,17,17,91,25
21501079,90,22,39,12,52,28,7,116,94,32,18,20,22,94,30
49200067,73,6,35,11,37,24,4,94,83,4,17,19,14,97,7
21700900,96,25,9,10,39,28,3,111,85,31,8,31,12,125,32
21001110,77,16,31,12,35,15,6,107,71,19,8,28,13,123,25
21000724,85,19,10,10,38,22,7,84,88,13,10,27,17,102,25
29100215,85,5,32,17,47,32,2,126,78,4,11,19,12,94,6
20400168,88,19,23,9,39,21,5,111,92,15,14,17,14,104,19
29900024,77,10,19,8,37,24,6,98,68,19,5,20,26,82,14
21900822,86,22,35,11,48,19,6,112,102,34,15,22,16,104,34
21900200,79,31,25,8,43,28,7,120,89,36,14,24,12,116,34
20700601,85,22,25,17,47,26,4,106,78,19,12,19,10,92,22
21800167,86,31,19,10,41,26,6,117,82,27,6,24,19,108,33
29200938,87,11,24,15,41,26,6,91,73,6,13,24,19,83,7
21700576,80,30,14,6,44,30,5,110,83,26,11,14,16,89,32
20901061,82,21,25,10,38,14,9,87,87,20,14,31,15,113,24
28600713,88,8,39,13,44,23,8,122,81,6,12,26,24,116,1
28800535,102,9,33,19,45,37,1,140,100,16,11,40,17,129,3
