x,y,ppscore,case,is_valid_score,metric,baseline_score,model_score,model
plus_minus_home,home_wins,1.0,regression,True,mean absolute error,0.3872,0.0,DecisionTreeRegressor()
fta_home,ftm_home,0.6343372744057497,regression,True,mean absolute error,5.3258,1.947446543969858,DecisionTreeRegressor()
ftm_home,fta_home,0.6342451755292452,regression,True,mean absolute error,6.5984,2.4133966337878285,DecisionTreeRegressor()
fta_away,ftm_away,0.6200354337937151,regression,True,mean absolute error,5.0038,1.9012666963830083,DecisionTreeRegressor()
ftm_away,fta_away,0.6188869692397471,regression,True,mean absolute error,6.131,2.3366039915911108,DecisionTreeRegressor()
fg3m_away,fg3a_away,0.5480812759728118,regression,True,mean absolute error,8.1414,3.679251099794951,DecisionTreeRegressor()
fg3a_away,fg3m_away,0.5473955472218871,regression,True,mean absolute error,3.3884,1.5336049277933577,DecisionTreeRegressor()
fg3m_home,fg3a_home,0.5365183552657142,regression,True,mean absolute error,8.27,3.832993201952543,DecisionTreeRegressor()
fg3a_home,fg3m_home,0.5332159807533601,regression,True,mean absolute error,3.4412,1.6062971670315374,DecisionTreeRegressor()
fgm_away,pts_away,0.4672732239887333,regression,True,mean absolute error,10.5006,5.593950784183908,DecisionTreeRegressor()
pts_away,fgm_away,0.46592552644245133,regression,True,mean absolute error,4.4624,2.383253930803205,DecisionTreeRegressor()
fgm_home,pts_home,0.4636469229786164,regression,True,mean absolute error,10.7954,5.790146007676644,DecisionTreeRegressor()
pts_home,fgm_home,0.4607852771444909,regression,True,mean absolute error,4.6202,2.4912798625370227,DecisionTreeRegressor()
year,fg3a_away,0.4584255282954849,regression,True,mean absolute error,8.1414,4.40917440393514,DecisionTreeRegressor()
year,fg3a_home,0.45668741531696166,regression,True,mean absolute error,8.27,4.493195075328726,DecisionTreeRegressor()
fg3a_away,year,0.4514044566783284,regression,True,mean absolute error,9.1936,5.0435679870821195,DecisionTreeRegressor()
fg3a_home,year,0.44916477635351826,regression,True,mean absolute error,9.1936,5.064158712116295,DecisionTreeRegressor()
pf_away,fta_home,0.43866940273094945,regression,True,mean absolute error,6.5984,3.703883813020103,DecisionTreeRegressor()
fta_home,pf_away,0.4375718248135885,regression,True,mean absolute error,3.8206,2.148813086117204,DecisionTreeRegressor()
home_wins,plus_minus_home,0.4100705522902861,regression,True,mean absolute error,10.4048,6.138097917530031,DecisionTreeRegressor()
pf_home,fta_away,0.4021148218189796,regression,True,mean absolute error,6.131,3.665634027427836,DecisionTreeRegressor()
fta_away,pf_home,0.3994486246296801,regression,True,mean absolute error,3.6374,2.1844455727720016,DecisionTreeRegressor()
reb_away,dreb_away,0.364119842586324,regression,True,mean absolute error,4.4772,2.84696264077251,DecisionTreeRegressor()
dreb_away,reb_away,0.35853462966480576,regression,True,mean absolute error,5.3172,3.4107996671462946,DecisionTreeRegressor()
pf_away,ftm_home,0.35335301688925524,regression,True,mean absolute error,5.3258,3.4439125026512043,DecisionTreeRegressor()
dreb_home,reb_home,0.35124749249026255,regression,True,mean absolute error,5.3582,3.4761456857386754,DecisionTreeRegressor()
ftm_home,pf_away,0.3494810929298803,regression,True,mean absolute error,3.8206,2.4853725363520995,DecisionTreeRegressor()
reb_home,dreb_home,0.34826162819711204,regression,True,mean absolute error,4.366,2.8454897312914085,DecisionTreeRegressor()
year,fg3m_away,0.33622742926273563,regression,True,mean absolute error,3.3884,2.2491269786861463,DecisionTreeRegressor()
fg3m_away,year,0.32959132007561354,regression,True,mean absolute error,9.1936,6.16346923975284,DecisionTreeRegressor()
pf_home,ftm_away,0.32284715042141654,regression,True,mean absolute error,5.0038,3.3883374287213157,DecisionTreeRegressor()
