,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_corr_selector__threshold,param_model__algorithm,param_model__learning_rate,param_model__n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision
0,6.0375144481658936,2.006395403283846,0.0,0.0,0.55,SAMME,0.5,20,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME', 'model__learning_rate': 0.5, 'model__n_estimators': 20}",,,,,,,,128,,,,,,,,128
1,5.319331550598145,0.6925630224183293,0.0,0.0,0.55,SAMME,0.5,30,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME', 'model__learning_rate': 0.5, 'model__n_estimators': 30}",,,,,,,,110,,,,,,,,97
2,5.538140296936035,0.8309199263635835,0.0,0.0,0.55,SAMME,0.5,40,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME', 'model__learning_rate': 0.5, 'model__n_estimators': 40}",,,,,,,,97,,,,,,,,98
3,5.17880072593689,0.5445240174599686,0.0,0.0,0.55,SAMME,0.5,50,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME', 'model__learning_rate': 0.5, 'model__n_estimators': 50}",,,,,,,,98,,,,,,,,99
4,4.537153053283691,0.6680032449380268,0.0,0.0,0.55,SAMME,1.0,20,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME', 'model__learning_rate': 1.0, 'model__n_estimators': 20}",,,,,,,,99,,,,,,,,100
5,4.997751045227051,0.3352322577267779,0.0,0.0,0.55,SAMME,1.0,30,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME', 'model__learning_rate': 1.0, 'model__n_estimators': 30}",,,,,,,,100,,,,,,,,101
6,1.358154296875,1.5793842017852626,0.0,0.0,0.55,SAMME,1.0,40,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME', 'model__learning_rate': 1.0, 'model__n_estimators': 40}",,,,,,,,101,,,,,,,,102
7,1.3888401508331298,0.6063867764079833,0.0,0.0,0.55,SAMME,1.0,50,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME', 'model__learning_rate': 1.0, 'model__n_estimators': 50}",,,,,,,,102,,,,,,,,111
8,1.7365180015563966,0.4505972366313624,0.0,0.0,0.55,SAMME,1.5,20,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME', 'model__learning_rate': 1.5, 'model__n_estimators': 20}",,,,,,,,111,,,,,,,,104
9,1.596671962738037,0.33002896711785223,0.0,0.0,0.55,SAMME,1.5,30,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME', 'model__learning_rate': 1.5, 'model__n_estimators': 30}",,,,,,,,104,,,,,,,,105
10,1.8190543174743652,0.38256872092989547,0.0,0.0,0.55,SAMME,1.5,40,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME', 'model__learning_rate': 1.5, 'model__n_estimators': 40}",,,,,,,,105,,,,,,,,106
11,1.8173548698425293,0.17210486763109206,0.0,0.0,0.55,SAMME,1.5,50,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME', 'model__learning_rate': 1.5, 'model__n_estimators': 50}",,,,,,,,106,,,,,,,,107
12,1.637744426727295,0.1719152544810992,0.0,0.0,0.55,SAMME,2.0,20,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME', 'model__learning_rate': 2.0, 'model__n_estimators': 20}",,,,,,,,107,,,,,,,,108
13,1.266084909439087,0.16198228770353296,0.0,0.0,0.55,SAMME,2.0,30,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME', 'model__learning_rate': 2.0, 'model__n_estimators': 30}",,,,,,,,108,,,,,,,,109
14,0.9028524398803711,0.14060714259683932,0.0,0.0,0.55,SAMME,2.0,40,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME', 'model__learning_rate': 2.0, 'model__n_estimators': 40}",,,,,,,,109,,,,,,,,110
15,0.7218919277191163,0.07272405323849174,0.0,0.0,0.55,SAMME,2.0,50,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME', 'model__learning_rate': 2.0, 'model__n_estimators': 50}",,,,,,,,103,,,,,,,,103
16,0.9034043788909912,0.2949863760195943,0.0,0.0,0.55,SAMME.R,0.5,20,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 0.5, 'model__n_estimators': 20}",,,,,,,,112,,,,,,,,112
17,2.339690685272217,0.5614557652914661,0.0,0.0,0.55,SAMME.R,0.5,30,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 0.5, 'model__n_estimators': 30}",,,,,,,,127,,,,,,,,127
18,2.65950083732605,0.5752018827773717,0.0,0.0,0.55,SAMME.R,0.5,40,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 0.5, 'model__n_estimators': 40}",,,,,,,,113,,,,,,,,113
19,2.93562650680542,0.48331738310474437,0.0,0.0,0.55,SAMME.R,0.5,50,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 0.5, 'model__n_estimators': 50}",,,,,,,,114,,,,,,,,114
20,2.7770705699920653,0.18092654530886523,0.0,0.0,0.55,SAMME.R,1.0,20,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 1.0, 'model__n_estimators': 20}",,,,,,,,115,,,,,,,,115
21,2.770171546936035,0.11536855819449836,0.0,0.0,0.55,SAMME.R,1.0,30,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 1.0, 'model__n_estimators': 30}",,,,,,,,116,,,,,,,,116
22,2.4158491134643554,0.5917546242220939,0.0,0.0,0.55,SAMME.R,1.0,40,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 1.0, 'model__n_estimators': 40}",,,,,,,,117,,,,,,,,117
23,1.5223029613494874,0.29428917182570036,0.0,0.0,0.55,SAMME.R,1.0,50,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 1.0, 'model__n_estimators': 50}",,,,,,,,118,,,,,,,,118
24,1.8384509086608887,0.3880029215841056,0.0,0.0,0.55,SAMME.R,1.5,20,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 1.5, 'model__n_estimators': 20}",,,,,,,,119,,,,,,,,119
25,2.6173619270324706,0.5376806654303377,0.0,0.0,0.55,SAMME.R,1.5,30,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 1.5, 'model__n_estimators': 30}",,,,,,,,120,,,,,,,,120
26,2.5782917022705076,0.9936544506083417,0.0,0.0,0.55,SAMME.R,1.5,40,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 1.5, 'model__n_estimators': 40}",,,,,,,,121,,,,,,,,121
27,2.775678205490112,0.9833844520583883,0.0,0.0,0.55,SAMME.R,1.5,50,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 1.5, 'model__n_estimators': 50}",,,,,,,,122,,,,,,,,122
28,1.9950704097747802,0.941101750339409,0.0,0.0,0.55,SAMME.R,2.0,20,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 2.0, 'model__n_estimators': 20}",,,,,,,,123,,,,,,,,123
29,3.140405702590942,0.3377237062476781,0.0,0.0,0.55,SAMME.R,2.0,30,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 2.0, 'model__n_estimators': 30}",,,,,,,,124,,,,,,,,124
30,2.7008511543273928,0.20986581674945015,0.0,0.0,0.55,SAMME.R,2.0,40,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 2.0, 'model__n_estimators': 40}",,,,,,,,125,,,,,,,,125
31,1.8200106620788574,0.60005475456541,0.0,0.0,0.55,SAMME.R,2.0,50,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 2.0, 'model__n_estimators': 50}",,,,,,,,126,,,,,,,,126
